Date;IBM-US;CL-US;DE-US;ECL-US;LOW-US;ADP-US;TJX-US;MMC-US;UNP-US;TXN-US;SYY-US;PGR-US;HUM-US;AMAT-US;AMD-US;SYK-US;AAPL-US;NKE-US;KLAC-US;HD-US;AMGN-US;PAYX-US;PSA-US;CTAS-US;LRCX-US;COST-US;ADSK-US;MSFT-US;ADBE-US;ORCL-US;SCHW-US;CDNS-US;WM-US;EOG-US;QCOM-US;VRTX-US;IDXX-US;APH-US;SNPS-US;INTU-US;MCHP-US;EL-US;AMZN-US;CCI-US;MAR-US;NVDA-US;UPS-US;BKNG-US;A-US;ISRG-US;EQIX-US;ACN-US;NFLX-US;GOOGL-US;DXCM-US;MA-US;CMG-US;BX-US;LULU-US;V-US;DG-US;FTNT-US;TSLA-US;NOW-US;KO-US;XOM-US;COP-US;MO-US;ETN-US;ABT-US;MMM-US;RTX-US;BA-US;PFE-US;JNJ-US;NEE-US;SO-US;AEP-US;NOC-US;F-US;DIS-US;MDT-US;APD-US;WFC-US;BDX-US;CVX-US;JCI-US;MCD-US;JPM-US;BMY-US;ADI-US;WMT-US;INTC-US;CMCSA-US;AXP-US;BAC-US;TMO-US;VLO-US;NSC-US;ATVI-US;D-US;MU-US;AIG-US;MS-US;FISV-US;CSCO-US;TFC-US;REGN-US;GILD-US;SBUX-US;BSX-US;ROP-US;UNH-US;CB-US;PLD-US;GS-US;BLK-US;MET-US;MDLZ-US;ELV-US;CNC-US;CME-US;CRM-US;ICE-US;TMUS-US;GM-US;HCA-US;META-US
30/12/2013;186,41;65,43;90,82;104,11;49,25;81,08;31,66;48,21;83,03;43,90;36,66;27,16;102,48;17,49;3,85;75,02;19,80;39,37;64,20;81,94;115,49;45,67;151,57;59,48;54,44;118,77;49,58;37,29;59,55;37,99;25,58;13,99;44,88;83,68;73,57;73,89;53,35;22,18;40,60;76,57;22,23;75,04;19,67;73,22;49,01;3,99;104,92;1152,89;57,32;42,56;173,07;82,06;52,43;27,76;8,83;83,33;532,04;31,29;59,11;55,23;60,70;3,78;10,16;55,51;41,09;100,31;69,91;38,36;76,01;38,41;139,42;112,73;135,92;30,69;92,30;21,26;41,00;46,64;113,93;15,28;76,23;57,37;112,59;45,50;110,60;124,23;43,12;97,01;57,95;53,42;50,85;78,63;25,85;25,94;89,59;15,54;110,59;48,64;91,96;17,80;64,39;21,30;51,11;30,85;29,36;22,25;37,16;278,08;75,08;39,28;12,02;138,56;74,78;102,92;37,19;175,73;316,08;53,50;35,13;91,52;14,53;78,44;55,17;44,70;32,99;40,69;47,19;53,71
02/01/2014;185,53;64,30;90,26;103,79;49,44;79,86;31,74;47,72;83,56;43,10;35,92;26,72;102,84;17,55;3,95;74,63;19,75;39,12;63,38;82,02;115,80;45,06;148,95;59,06;53,95;117,81;49,25;37,16;59,29;37,84;25,82;14,01;44,20;82,51;73,32;73,83;52,52;21,94;40,42;75,94;22,09;73,71;19,90;71,63;48,96;3,97;103,32;1145,44;56,21;42,22;174,76;81,13;51,83;27,85;8,69;83,41;523,43;31,28;58,59;55,25;61,20;3,80;10,01;55,69;40,66;99,75;69,78;37,90;75,49;38,23;138,13;112,49;136,67;30,46;91,03;21,06;40,69;46,13;113,23;15,44;76,27;57,24;111,44;45,02;109,14;124,14;42,58;96,41;58,21;52,27;49,28;78,91;25,79;25,73;89,45;16,10;109,63;49,87;91,31;18,07;63,58;21,66;50,71;31,03;29,10;22,00;36,77;274,59;75,21;38,59;11,91;138,08;74,57;101,70;36,91;176,89;312,80;53,19;34,81;90,63;14,76;77,96;54,86;44,92;33,31;40,95;47,77;54,71
03/01/2014;186,64;64,18;90,66;103,92;48,95;80,73;31,80;47,85;83,43;43,29;36,05;26,34;101,76;17,51;4,00;74,84;19,32;39,02;63,47;81,89;114,47;45,22;150,11;59,35;53,94;117,29;48,90;36,91;59,16;37,62;25,90;14,17;44,19;82,28;72,89;73,45;53,15;22,02;40,62;75,80;22,27;73,65;19,82;71,24;48,65;3,92;103,09;1132,68;56,92;41,50;173,42;81,40;51,87;27,65;8,70;83,08;531,31;32,05;58,78;55,29;60,98;3,85;9,97;55,18;40,46;99,51;69,96;37,72;75,71;38,64;138,45;112,90;137,62;30,52;91,85;21,09;40,47;46,11;113,58;15,51;76,11;58,34;111,22;45,34;109,37;124,35;42,34;96,54;58,66;52,85;49,61;78,65;25,78;25,54;89,74;16,41;110,05;49,35;91,37;18,29;63,51;20,97;50,92;31,51;29,02;21,98;36,93;271,75;74,32;38,48;11,93;138,23;75,10;101,44;37,24;178,15;314,17;53,81;34,75;90,63;14,73;79,20;55,12;45,18;32,22;39,57;48,77;54,56
06/01/2014;186,00;64,14;89,91;102,28;48,26;79,81;31,46;47,60;82,58;42,93;36,00;26,17;100,76;17,29;4,13;75,35;19,43;38,72;62,36;81,10;113,48;44,83;150,03;59,04;53,25;116,40;48,55;36,13;58,12;37,47;25,81;14,27;43,76;82,01;72,70;75,50;52,66;21,81;40,25;75,74;22,23;74,08;19,68;71,27;48,45;3,97;101,75;1139,53;56,64;41,22;174,18;80,54;51,37;27,96;8,75;82,67;527,32;31,48;57,78;54,96;59,61;3,85;9,80;55,73;40,27;99,66;70,26;37,28;75,38;39,15;137,63;112,79;138,41;30,55;92,33;21,10;40,40;46,08;113,80;15,58;75,82;59,22;111,49;45,42;109,45;124,02;42,75;95,85;59,00;52,64;49,33;78,21;25,46;25,51;89,70;16,66;110,06;49,83;90,00;18,08;63,52;20,67;50,52;31,62;29,06;22,01;37,43;268,86;73,24;38,09;12,33;137,66;74,24;101,09;37,40;179,37;314,07;53,58;34,53;89,28;14,67;78,40;54,23;45,29;33,42;40,40;48,53;57,20
07/01/2014;189,71;64,20;90,31;103,33;48,38;80,78;31,59;47,94;83,31;42,70;36,48;26,03;100,55;17,37;4,18;75,78;19,29;38,75;62,33;81,50;116,43;45,09;149,86;59,35;53,91;115,86;49,68;36,41;58,97;37,85;25,54;14,34;44,08;83,43;73,24;74,49;53,93;21,96;40,34;77,06;22,35;73,89;19,90;72,77;48,66;4,04;102,08;1163,07;57,45;41,53;179,59;81,52;48,50;28,50;8,87;83,71;533,06;31,75;58,28;55,38;59,89;3,97;9,96;57,78;40,39;101,07;70,37;37,28;75,54;38,85;137,65;113,51;140,51;30,74;94,29;21,26;40,76;46,38;114,51;15,38;76,34;59,84;110,11;45,40;111,03;125,07;42,90;96,38;58,32;52,56;49,59;78,45;25,59;26,42;89,36;16,50;112,31;51,42;90,54;18,32;64,69;21,73;51,21;31,52;29,20;22,31;38,03;274,07;72,78;38,61;12,44;137,93;76,51;100,27;37,73;178,29;316,96;53,37;34,81;91,08;15,05;77,82;54,95;45,56;33,16;40,20;49,85;57,92
08/01/2014;187,97;63,54;89,34;104,14;48,55;80,35;31,75;48,15;83,47;43,29;35,99;25,72;99,40;17,42;4,18;77,02;19,41;38,55;62,30;81,93;115,88;44,76;150,13;59,19;54,18;114,05;50,24;35,76;58,90;37,72;25,84;14,42;43,99;83,39;73,68;75,23;54,16;22,08;40,78;76,44;22,65;73,08;20,10;72,02;49,13;4,09;102,00;1157,50;58,39;42,27;180,29;82,15;48,71;28,56;8,87;83,68;535,85;31,52;58,02;55,56;59,70;3,97;10,09;57,89;39,94;100,74;69,69;37,13;75,28;39,20;136,63;113,65;140,82;30,95;94,16;21,32;40,40;46,10;115,19;15,54;75,22;60,84;110,09;45,92;111,08;123,29;43,10;95,41;58,87;53,42;49,71;77,83;25,43;26,38;89,41;16,58;114,04;51,86;89,91;18,34;64,76;23,87;51,81;31,56;29,36;22,29;38,14;273,50;73,46;39,02;12,79;138,31;75,62;99,03;37,68;178,44;316,86;54,19;34,82;92,22;15,36;77,06;56,94;45,40;33,19;40,42;50,55;58,23
09/01/2014;187,38;65,02;88,98;105,00;48,75;80,63;31,66;48,55;84,64;43,06;35,93;25,90;98,99;17,40;4,09;76,99;19,16;38,55;62,49;81,57;118,89;44,53;153,05;59,37;54,20;118,51;51,08;35,53;59,09;37,65;25,85;14,32;43,73;83,50;73,91;76,32;54,49;22,36;40,94;76,63;22,61;73,44;20,05;71,77;48,99;3,94;102,12;1153,69;58,41;42,98;177,49;82,95;48,15;28,28;9,16;84,36;541,03;31,94;57,35;55,48;61,54;3,89;9,84;57,66;39,73;99,76;69,46;37,25;75,55;39,27;136,45;113,71;142,13;30,93;94,73;21,51;40,62;46,28;115,63;15,84;74,90;59,36;109,66;46,16;112,15;123,29;42,92;95,46;58,76;55,03;49,52;78,09;25,31;26,44;88,88;16,83;114,00;52,90;91,31;18,30;66,32;23,24;52,11;31,55;29,31;22,09;38,40;267,62;74,30;38,80;12,78;139,54;76,08;98,90;37,20;177,40;316,08;54,55;35,36;93,00;15,43;77,10;56,29;45,51;32,97;40,49;50,90;57,22
10/01/2014;187,26;65,08;89,76;105,39;49,68;80,35;32,03;48,19;85,19;43,11;36,36;25,94;96,96;17,47;4,17;78,15;19,03;38,46;63,62;82,01;117,99;44,37;154,26;59,27;54,88;117,85;51,47;36,04;59,53;38,11;25,66;14,49;43,61;83,41;73,87;78,21;54,53;22,34;41,13;76,24;22,54;74,05;19,88;71,85;49,28;3,93;102,52;1148,84;58,93;46,68;179,01;83,20;47,45;28,28;9,26;83,48;538,57;32,28;59,60;55,28;62,87;3,91;9,71;59,38;40,13;100,52;68,87;37,26;76,32;39,57;136,18;113,83;141,90;30,69;94,74;21,81;41,39;47,20;116,37;16,07;75,39;59,95;109,63;45,94;112,54;121,01;43,06;95,80;58,49;56,18;49,53;78,04;25,53;26,77;88,55;16,77;114,46;53,24;91,59;18,18;67,78;23,71;52,22;31,30;29,15;22,22;38,66;274,38;74,87;38,84;13,11;139,38;74,70;98,67;37,60;178,39;314,94;54,10;35,80;91,99;15,06;76,49;56,95;45,07;32,96;40,03;51,32;57,94
13/01/2014;184,16;64,69;89,51;103,10;48,66;79,05;31,46;47,39;84,03;42,24;36,28;25,70;96,03;17,32;4,13;77,43;19,13;37,59;62,31;80,97;116,40;43,58;153,96;58,48;54,58;114,77;51,57;34,98;58,60;37,75;24,83;14,27;43,03;81,73;73,22;77,04;54,19;22,30;40,64;75,01;22,58;73,84;19,55;71,60;48,75;3,84;100,23;1139,72;58,93;43,67;174,92;81,06;48,12;28,10;9,31;81,00;529,80;32,09;49,70;54,73;60,69;3,93;9,29;57,09;39,53;98,55;67,74;37,09;74,07;39,11;134,68;112,80;140,70;30,54;94,50;21,67;41,27;46,67;115,63;16,11;73,27;59,25;108,58;45,56;111,06;119,25;42,24;94,83;57,70;55,42;48,87;77,49;25,50;26,08;86,99;16,43;112,99;51,49;90,19;17,87;67,17;23,33;51,46;30,87;28,70;22,19;38,54;268,68;73,14;37,56;12,92;137,98;73,94;96,92;36,75;175,88;306,47;52,97;35,20;90,84;15,14;74,02;56,21;44,10;32,43;39,58;50,96;55,91
14/01/2014;185,92;64,85;89,70;104,33;48,90;79,95;31,43;48,17;84,41;43,34;36,65;26,06;96,79;17,63;4,30;78,16;19,51;37,59;63,86;81,01;117,72;43,76;155,73;58,99;55,89;116,23;52,64;35,78;60,37;38,21;25,59;14,46;43,30;84,30;73,39;79,38;55,01;23,10;41,04;76,06;23,06;73,74;19,88;72,91;49,34;3,96;100,93;1159,21;59,88;46,65;178,74;81,95;48,28;28,76;9,23;82,17;530,28;32,07;49,26;55,66;61,59;4,18;10,75;57,63;39,69;99,12;68,32;36,98;75,70;39,57;137,41;112,63;140,01;31,00;94,72;21,68;41,10;46,51;117,11;16,40;74,45;59,41;110,17;45,59;111,70;119,57;42,78;95,22;57,74;55,68;49,71;77,96;26,51;26,41;87,12;16,77;114,76;52,38;90,76;17,49;67,11;23,67;51,76;31,10;28,99;22,41;38,44;300,32;74,99;37,73;13,18;139,65;74,02;97,70;37,22;176,60;310,52;53,59;35,40;91,35;15,29;75,29;57,51;43,96;32,88;40,02;51,41;57,74
